8206325,complete ratio: [0.93271462 0.80606061 0.5136612 ], critic loss: 24.239042032571486, actor loss: 1.060442184892257
load ratio std: 0.15777976947427202, task latency mean: 19.758862717517104,complete ratio: [0.94145199 0.76677316 0.46195652], critic loss: 23.399316141660044, actor loss: 1.8490610730942127
load ratio std: 0.08047557297776031, task latency mean: 20.29242889699727,complete ratio: [0.94493392 0.85858586 0.46666667], critic loss: 23.55027383670953, actor loss: 1.571667439001017
load ratio std: 0.0819445297201758, task latency mean: 18.208428532463692,complete ratio: [0.89932886 0.80902778 0.46842105], critic loss: 24.32276040906245, actor loss: 2.03893832087448
load ratio std: 0.11655628712160139, task latency mean: 19.309901449286077,complete ratio: [0.94883721 0.89423077 0.49056604], critic loss: 24.728231013876123, actor loss: 0.4056037832336344
load ratio std: 0.0812263648804642, task latency mean: 17.390173669413198,complete ratio: [0.92857143 0.87713311 0.53926702], critic loss: 23.71409559456106, actor loss: -0.7890362854356154
load ratio std: 0.08287709022363743, task latency mean: 18.020644743782164,complete ratio: [0.93793103 0.86013986 0.57377049], critic loss: 23.79674066738102, actor loss: 0.20573126277559534
load ratio std: 0.1196412578145012, task latency mean: 22.80530138618693,complete ratio: [0.92633929 0.70934256 0.53023256], critic loss: 24.759659864535596, actor loss: 3.495227628450844
load ratio std: 0.07926078303299189, task latency mean: 20.570774276305222,complete ratio: [0.90123457 0.80363636 0.4952381 ], critic loss: 25.024029347505103, actor loss: 4.627784588658141
load ratio std: 0.12104859549611455, task latency mean: 19.3231834575877,complete ratio: [0.89910314 0.8779661  0.51515152], critic loss: 24.73875075160982, actor loss: 4.644139912112693
load ratio std: 0.12155650852344149, task latency mean: 20.95304728924136,complete ratio: [0.91777778 0.75778547 0.57070707], critic loss: 26.125364766137118, actor loss: 5.218282615425597
load ratio std: 0.11731030931651024, task latency mean: 20.68745748213418,complete ratio: [0.91576674 0.9022082  0.51598174], critic loss: 24.775203245846956, actor loss: 3.3420934485803313
load ratio std: 0.11695159414733317, task latency mean: 22.86452378905429,complete ratio: [0.92857143 0.76655052 0.41545894], critic loss: 27.04341924008247, actor loss: 8.147211065574192
load ratio std: 0.08323889130964787, task latency mean: 16.854380578012172,complete ratio: [0.89393939 0.87323944 0.47593583], critic loss: 28.68170317671541, actor loss: 2.184868647698773
load ratio std: 0.08486381777627525, task latency mean: 17.94659676298652,complete ratio: [0.92290249 0.85144928 0.56650246], critic loss: 29.33559530457743, actor loss: 1.3712035944937677
load ratio std: 0.11475043139934918, task latency mean: 20.1481170841842,complete ratio: [0.94369369 0.79220779 0.51813472], critic loss: 27.553355906760594, actor loss: -0.46684606826299396
load ratio std: 0.15784499215393188, task latency mean: 18.08734403604521,complete ratio: [0.95905172 0.76875    0.60732984], critic loss: 25.279013040724784, actor loss: 0.6576769222268875
load ratio std: 0.11374556803700364, task latency mean: 18.224488123262514,complete ratio: [0.93832599 0.7804878  0.57526882], critic loss: 25.194526662368013, actor loss: -0.13260283446463877
load ratio std: 0.11634474355417466, task latency mean: 22.274845335154907,complete ratio: [0.9138322  0.73015873 0.4278607 ], critic loss: 26.07609244621518, actor loss: 1.7109760810444854
load ratio std: 0.08256259024148054, task latency mean: 19.55676480497872,complete ratio: [0.97804878 0.74657534 0.50520833], critic loss: 25.0395526044067, actor loss: 1.9516833717166513
load ratio std: 0.07895505034111358, task latency mean: 18.599859574736822,complete ratio: [0.93995381 0.84876543 0.49723757], critic loss: 25.21326020871019, actor loss: 4.1030787962559305
load ratio std: 0.07223202327933259, task latency mean: 22.19123479466338,complete ratio: [0.92117117 0.80276817 0.42487047], critic loss: 24.775742149984133, actor loss: 2.0793649130962506
load ratio std: 0.15799992176054217, task latency mean: 16.914327418974487,complete ratio: [0.93952484 0.83389831 0.53225806], critic loss: 23.882818245033082, actor loss: -0.31359330687787906
load ratio std: 0.08589905635185081, task latency mean: 21.522062711843848,complete ratio: [0.93176471 0.81012658 0.43349754], critic loss: 25.222358348227345, actor loss: 0.8417264448701942
load ratio std: 0.07295921715511039, task latency mean: 20.08611173865979,complete ratio: [0.86313466 0.85074627 0.55675676], critic loss: 25.282584071666506, actor loss: -0.19283528217805954
load ratio std: 0.08322411844137112, task latency mean: 18.7474984314058,complete ratio: [0.94172494 0.89568345 0.48913043], critic loss: 26.098454313206332, actor loss: 0.31641711709257336
load ratio std: 0.15785872120996886, task latency mean: 20.34021956123563,complete ratio: [0.91157895 0.74482759 0.53448276], critic loss: 24.373572547821816, actor loss: 1.5603953569747873
load ratio std: 0.11939748470854429, task latency mean: 23.23574305431837,complete ratio: [0.93424036 0.70382166 0.51269036], critic loss: 25.42477708696848, actor loss: 4.944092020038249
load ratio std: 0.07758869099957527, task latency mean: 20.285143276806235,complete ratio: [0.89130435 0.83601286 0.43781095], critic loss: 26.371194242385336, actor loss: 7.075005311369635
load ratio std: 0.08473218066536817, task latency mean: 18.784402037469402,complete ratio: [0.93706294 0.75824176 0.46892655], critic loss: 26.518731351015923, actor loss: 5.649111713799877
load ratio std: 0.07923730863998417, task latency mean: 18.53531586750327,complete ratio: [0.97163121 0.85761589 0.57512953], critic loss: 25.591351872598654, actor loss: 2.3370404017063655
load ratio std: 0.07873316018003614, task latency mean: 20.73763347491558,complete ratio: [0.91390728 0.74666667 0.484375  ], critic loss: 24.51548140610318, actor loss: 1.671695420559665
load ratio std: 0.08235011606309182, task latency mean: 20.088589409631744,complete ratio: [0.92271663 0.72039474 0.55357143], critic loss: 23.254975541694257, actor loss: 0.8127259925381669
load ratio std: 0.08943660145957166, task latency mean: 18.747068347392354,complete ratio: [0.93012048 0.78571429 0.46195652], critic loss: 22.971197118384552, actor loss: 2.7879649166085256
load ratio std: 0.11546096631547474, task latency mean: 16.820678351978625,complete ratio: [0.94403893 0.85443038 0.58503401], critic loss: 23.3085837462386, actor loss: 0.12253259084226427
load ratio std: 0.0700777735037016, task latency mean: 20.6011322227188,complete ratio: [0.93478261 0.80722892 0.47945205], critic loss: 23.726905552098643, actor loss: 0.22199706218781942
load ratio std: 0.08028441324648555, task latency mean: 21.870546357174902,complete ratio: [0.94303797 0.72752809 0.37387387], critic loss: 26.10390299251573, actor loss: 0.6788553392613423
load ratio std: 0.08273835139602605, task latency mean: 20.659924094019313,complete ratio: [0.96208531 0.80327869 0.49189189], critic loss: 26.41913983509131, actor loss: 3.5856180444762193
load ratio std: 0.07872413442617629, task latency mean: 18.946612791319957,complete ratio: [0.92477876 0.83333333 0.45263158], critic loss: 28.21098830531428, actor loss: 4.903112641356122
load ratio std: 0.07799494534226191, task latency mean: 18.926159493146784,complete ratio: [0.93668122 0.7318612  0.47761194], critic loss: 28.556873683532512, actor loss: 3.9005944356749565
load ratio std: 0.07912911106528274, task latency mean: 20.706136113470116,complete ratio: [0.89224138 0.69360269 0.5645933 ], critic loss: 25.71568869763747, actor loss: 2.1470636234544407
load ratio std: 0.07761142515575853, task latency mean: 17.14849327487499,complete ratio: [0.95196507 0.78504673 0.57608696], critic loss: 24.863622597075224, actor loss: -0.02269700464231903
load ratio std: 0.15959737420920622, task latency mean: 20.411689431177575,complete ratio: [0.95642202 0.77289377 0.55612245], critic loss: 25.17181539626221, actor loss: 0.8740667616025825
load ratio std: 0.08428574541319013, task latency mean: 21.209412386026475,complete ratio: [0.92740047 0.84320557 0.44497608], critic loss: 26.0841269753414, actor loss: 2.3399080622135697
load ratio std: 0.07888276964035143, task latency mean: 21.413484372503824,complete ratio: [0.925      0.73993808 0.51886792], critic loss: 24.886451845706144, actor loss: 5.04102621308555
load ratio std: 0.11810342531038723, task latency mean: 18.83164106434424,complete ratio: [0.96744186 0.70833333 0.49456522], critic loss: 24.994149135082157, actor loss: 4.742878023533664
load ratio std: 0.08522143013592834, task latency mean: 19.65152549245653,complete ratio: [0.93811881 0.81314879 0.48850575], critic loss: 23.237140216493696, actor loss: 3.400162791186574
load ratio std: 0.08008230792693709, task latency mean: 19.597601606679884,complete ratio: [0.93497758 0.85049834 0.41208791], critic loss: 24.63517638024869, actor loss: 2.048167587306744
load ratio std: 0.11511493912330018, task latency mean: 19.011127135117295,complete ratio: [0.92600897 0.79931973 0.48979592], critic loss: 25.184401429861136, actor loss: 1.7302285938416504
load ratio std: 0.20558750355450411, task latency mean: 20.90635601885537,complete ratio: [0.93049327 0.75420875 0.4741784 ], critic loss: 25.805776314564376, actor loss: 2.802361020055888
load ratio std: 0.08649927528636524, task latency mean: 21.852994724165868,complete ratio: [0.91686461 0.75531915 0.45959596], critic loss: 26.34203671960094, actor loss: 4.5404816813462165
load ratio std: 0.15754129706610126, task latency mean: 20.18650500248671,complete ratio: [0.96853933 0.78388278 0.59793814], critic loss: 26.778102801657138, actor loss: 3.7581654891881655
load ratio std: 0.08514279837944698, task latency mean: 17.580279063109543,complete ratio: [0.93981481 0.85714286 0.47804878], critic loss: 26.820020461783503, actor loss: 4.279878130517735
load ratio std: 0.08622150479093083, task latency mean: 18.77434225844839,complete ratio: [0.94405594 0.84722222 0.43564356], critic loss: 27.50098631850266, actor loss: 1.6113219711142386
load ratio std: 0.08170866458884483, task latency mean: 19.81648730725907,complete ratio: [0.95164835 0.78169014 0.54418605], critic loss: 26.080646025968548, actor loss: 0.3141520626302731
load ratio std: 0.12055438055692319, task latency mean: 18.549635941173186,complete ratio: [0.95205479 0.71009772 0.5       ], critic loss: 24.29409989710671, actor loss: 1.3914837045622357
load ratio std: 0.07099064839903801, task latency mean: 17.937598414224603,complete ratio: [0.93952484 0.8113879  0.58031088], critic loss: 22.4576312605741, actor loss: -0.01029223823746297
load ratio std: 0.08173347285426645, task latency mean: 20.978755538590892,complete ratio: [0.94222222 0.71571906 0.50731707], critic loss: 21.82437509475762, actor loss: 1.1484728015767771
load ratio std: 0.08525524219229426, task latency mean: 20.985788705448467,complete ratio: [0.89356984 0.80201342 0.47150259], critic loss: 23.582163512770826, actor loss: 2.1989555956466957
load ratio std: 0.08674900048742333, task latency mean: 17.289082725518778,complete ratio: [0.88341969 0.83333333 0.54301075], critic loss: 25.013587675904212, actor loss: 1.0522727027992669
load ratio std: 0.08452171519061905, task latency mean: 19.56055577706998,complete ratio: [0.93607306 0.73101266 0.53038674], critic loss: 25.95978838705804, actor loss: 1.3580798580674354
load ratio std: 0.07527156617584539, task latency mean: 18.377708715338514,complete ratio: [0.97584541 0.77891156 0.54854369], critic loss: 23.960763474315556, actor loss: -0.1579892024086941
load ratio std: 0.08286344566704361, task latency mean: 19.928977081795363,complete ratio: [0.93071594 0.83157895 0.47867299], critic loss: 22.91029595809416, actor loss: 1.9591491368362681
load ratio std: 0.2050368185362787, task latency mean: 18.55078467668866,complete ratio: [0.89647577 0.81021898 0.43298969], critic loss: 24.62189818486778, actor loss: 0.888447890774855
load ratio std: 0.0883486485007892, task latency mean: 18.307382311259694,complete ratio: [0.97087379 0.81469649 0.5       ], critic loss: 24.95313711674378, actor loss: -0.7892806627447411
load ratio std: 0.4407388366087256, task latency mean: 19.769006049842428,complete ratio: [0.92210526 0.66536965 0.59313725], critic loss: 23.471247001166752, actor loss: -0.2599800448127808
load ratio std: 0.08766314186260363, task latency mean: 18.85359921033366,complete ratio: [0.97387173 0.70163934 0.54891304], critic loss: 22.04627673418317, actor loss: 1.4241479179959688
load ratio std: 0.09519591289450727, task latency mean: 20.297886814661002,complete ratio: [0.82646421 0.78798587 0.58031088], critic loss: 22.61434193396275, actor loss: 2.9944543841100484
load ratio std: 0.39022363056275233, task latency mean: 21.398143002259783,complete ratio: [0.97772829 0.78125    0.44791667], critic loss: 26.39884660664459, actor loss: 3.1240826882599664
load ratio std: 0.08568412175824826, task latency mean: 18.547744792172427,complete ratio: [0.97142857 0.8828125  0.46629213], critic loss: 26.920045585847316, actor loss: 2.099520645885307
load ratio std: 0.07727838315360035, task latency mean: 17.302472880347647,complete ratio: [0.97022333 0.73248408 0.44632768], critic loss: 27.883178315088152, actor loss: 1.5425018719809773
